paper_number,paper_context,expected_value,reproduced_value,tolerance,source_file,source_columns,reproduction_method,status,notes
"[0.690,0.742]",Bootstrap CI Enriched500 max_step_guard threshold=50 F1,0.742,0.7422751396823287,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_high,row lookup,PASS,upper bound
"[0.077,0.124]",Bootstrap CI Enriched500 max_step_guard threshold=50 PIIR,0.077,0.0774437294394045,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_low,row lookup,PASS,lower bound
"[0.077,0.124]",Bootstrap CI Enriched500 max_step_guard threshold=50 PIIR,0.124,0.1241276700482168,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_high,row lookup,PASS,upper bound
"[0.699,0.756]",Bootstrap CI Enriched500 file_revisit_guard window=5;repeats=3 F1,0.699,0.6992039431697997,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_low,row lookup,PASS,lower bound
"[0.699,0.756]",Bootstrap CI Enriched500 file_revisit_guard window=5;repeats=3 F1,0.756,0.7561193747242059,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_high,row lookup,PASS,upper bound
"[0.535,0.589]",Bootstrap CI Enriched500 file_revisit_guard window=5;repeats=3 PIIR,0.535,0.5347642216008307,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_low,row lookup,PASS,lower bound
"[0.535,0.589]",Bootstrap CI Enriched500 file_revisit_guard window=5;repeats=3 PIIR,0.589,0.5890956315189557,0.0015,outputs/expected/intervention_risk_rich_detectors/bootstrap_ci.csv,ci_high,row lookup,PASS,upper bound
246856,Offline stop-counterfactual trigger-level events,246856,246856,0,outputs/expected/intervention_validation/stop_counterfactual_triggers.csv,row count,line count minus header,PASS,
11.8,Enriched500 max-step T=50 PSL,11.8,11.80232558139535,0.1,outputs/expected/intervention_validation/stop_counterfactual_summary_by_detector.csv,productive_suffix_cut_mean,row lookup,PASS,
48.1,Enriched500 max-step T=50 UWS,48.1,48.06395348837209,0.1,outputs/expected/intervention_validation/stop_counterfactual_summary_by_detector.csv,UC_suffix_saved_mean,row lookup,PASS,
24.8,"Enriched500 file-revisit w=5,r=3 PSL",24.8,24.848563968668408,0.1,outputs/expected/intervention_validation/stop_counterfactual_summary_by_detector.csv,productive_suffix_cut_mean,row lookup,PASS,
36.2,"Enriched500 file-revisit w=5,r=3 UWS",36.2,36.23498694516972,0.1,outputs/expected/intervention_validation/stop_counterfactual_summary_by_detector.csv,UC_suffix_saved_mean,row lookup,PASS,
180,API-assisted replan paired prefixes,180,180,0,outputs/expected/api_replan_intervention/prefix_replan_sample.csv,row count,CSV row count,PASS,
360,API-assisted replan parsed JSON responses,360,360,0,outputs/expected/api_replan_intervention/api_replan_parsed_responses.csv,row count,CSV row count,PASS,
0.711,API WARN_REPLAN action-shift rate,0.7111111111111111,0.7111111111111111,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,warn_replan_mean,row lookup,PASS,
0.644,API WARN_REPLAN action-shift CI lower,0.6444444444444445,0.6444444444444445,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,ci_low,row lookup,PASS,
0.778,API WARN_REPLAN action-shift CI upper,0.7777777777777778,0.7777777777777778,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,ci_high,row lookup,PASS,
2.000,API neutral progress-seeking score,2.0,2.0,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,neutral_mean,row lookup,PASS,
2.167,API WARN_REPLAN progress-seeking score,2.1666666666666665,2.1666666666666665,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,warn_replan_mean,row lookup,PASS,
0.167,API progress-seeking score paired effect,0.16666666666666666,0.1666666666666666,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,warn_minus_neutral,row lookup,PASS,
0.639,API neutral repeated-pattern rate,0.6388888888888888,0.6388888888888888,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,neutral_mean,row lookup,PASS,
0.656,API WARN_REPLAN repeated-pattern rate,0.6555555555555556,0.6555555555555556,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,warn_replan_mean,row lookup,PASS,
0.028,API productive-risk neutral unsafe over-stop,0.027777777777777776,0.0277777777777777,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,neutral_mean,row lookup,PASS,
0.014,API productive-risk WARN_REPLAN unsafe over-stop,0.013888888888888888,0.0138888888888888,0.0015,outputs/expected/api_replan_intervention/api_replan_pairwise_effects.csv,warn_replan_mean,row lookup,PASS,
35/60,Official-oracle live guard No Guard resolved/test-pass,35/60,35/60,n/a,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; N_official_oracle_outcomes; resolved_rate,row lookup,PASS,60-task official-oracle manuscript value
48/60,Official-oracle live guard No Guard patch generation,48/60,48/60,n/a,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; N_attempted; patch_generated_rate,row lookup,PASS,60-task official-oracle manuscript value
42.0,Official-oracle live guard No Guard mean steps,42.0,41.98333333333333,0.05,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; mean_steps,row lookup,PASS,
"758,692",Official-oracle live guard No Guard mean tokens,758692,758691.8,0.5,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; mean_tokens,row lookup,PASS,
42/60,Official-oracle live guard Warn/Replan Guard resolved/test-pass,42/60,42/60,n/a,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; N_official_oracle_outcomes; resolved_rate,row lookup,PASS,60-task official-oracle manuscript value
54/60,Official-oracle live guard Warn/Replan Guard patch generation,54/60,54/60,n/a,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; N_attempted; patch_generated_rate,row lookup,PASS,60-task official-oracle manuscript value
40.2,Official-oracle live guard Warn/Replan Guard mean steps,40.2,40.23333333333333,0.05,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; mean_steps,row lookup,PASS,
"744,589",Official-oracle live guard Warn/Replan Guard mean tokens,744589,744588.8,0.5,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; mean_tokens,row lookup,PASS,
8/60,Official-oracle live guard Hard Stop Guard resolved/test-pass,8/60,8/60,n/a,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; N_official_oracle_outcomes; resolved_rate,row lookup,PASS,60-task official-oracle manuscript value
9/60,Official-oracle live guard Hard Stop Guard patch generation,9/60,9/60,n/a,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; N_attempted; patch_generated_rate,row lookup,PASS,60-task official-oracle manuscript value
8.0,Official-oracle live guard Hard Stop Guard mean steps,8.0,8.016666666666667,0.05,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; mean_steps,row lookup,PASS,
"67,225",Official-oracle live guard Hard Stop Guard mean tokens,67225,67224.56666666667,0.5,outputs/expected/live_guard_official_oracle/live_guard_official_summary_by_arm.csv,arm; mean_tokens,row lookup,PASS,
0.117,Warn/Replan minus No Guard resolved/test-pass effect,0.11666666666666667,0.1166666666666666,0.0015,outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,comparison; metric; mean_difference,row lookup,PASS,
0.050,Warn/Replan minus No Guard resolved/test-pass CI lower,0.05,0.05,0.0015,outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,comparison; metric; bootstrap95_low,row lookup,PASS,
0.200,Warn/Replan minus No Guard resolved/test-pass CI upper,0.2,0.2,0.0015,outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,comparison; metric; bootstrap95_high,row lookup,PASS,
0.100,Warn/Replan minus No Guard patch-generation effect,0.1,0.1,0.0015,outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,comparison; metric; mean_difference,row lookup,PASS,
-0.450,Hard Stop minus No Guard resolved/test-pass effect,-0.45,-0.45,0.0015,outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,comparison; metric; mean_difference,row lookup,PASS,
-33.967,Hard Stop minus No Guard mean-step effect,-33.96666666666667,-33.96666666666667,0.0015,outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,comparison; metric; mean_difference,row lookup,PASS,
-0.650,Hard Stop minus No Guard patch-generation effect,-0.65,-0.65,0.0015,outputs/expected/live_guard_official_oracle/live_guard_official_pairwise_effects.csv,comparison; metric; mean_difference,row lookup,PASS,
0.762,Annotation reliability Cohen's kappa,documented,documented,n/a,README.md; DATASET_CARD.md,documentation text,documentation scan,DOCUMENTED_NOT_REPRODUCED_BY_RELEASE,"Raw independent annotation sheets are intentionally not released, so kappa is documented rather than recomputed."
