released_task_id,arm,run_id,status,model,runner,task_source,traceability_level,start_time,end_time,wall_clock,steps,tokens_input,tokens_output,estimated_cost,guard_triggered,trigger_step,trigger_count,stop_reason,oracle_available,resolved,tests_pass,patch_generated,repeated_file_count,repeated_tool_count,repeated_file_rate,repeated_tool_rate,unique_files_touched,error_summary
released_task_df63832860780fe0,WARN_REPLAN_GUARD,038b96fcbe3c,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:06:47Z,2026-06-15T03:07:25Z,37.358,10,55260,3057,0.0,True,10.0,1,step_or_cost_limit,False,,,False,3,6,0.3,0.6,8,
released_task_df63832860780fe0,HARD_STOP_GUARD,fea36d1e05f5,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:07:26Z,2026-06-15T03:07:46Z,20.261,5,13424,1606,0.0,True,5.0,1,hard_stop_guard,False,,,False,2,3,0.4,0.6,3,
released_task_5e850f2d21dabd70,NO_GUARD,8d92d32bdba1,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:07:47Z,2026-06-15T03:08:35Z,48.213,10,35326,917,0.0,True,7.0,1,step_or_cost_limit,False,,,False,3,8,0.3,0.8,8,
released_task_5e850f2d21dabd70,WARN_REPLAN_GUARD,0f6920b70ca2,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:08:36Z,2026-06-15T03:08:56Z,19.811,10,37481,1313,0.0,False,,0,step_or_cost_limit,False,,,False,1,9,0.1,0.9,11,
released_task_5e850f2d21dabd70,HARD_STOP_GUARD,d76a27749987,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:08:57Z,2026-06-15T03:09:07Z,9.664,4,14507,573,0.0,True,4.0,1,hard_stop_guard,False,,,False,2,7,0.25,0.875,6,
released_task_7e04a501679a132a,NO_GUARD,e1e7fd669091,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:10:24Z,2026-06-15T03:11:28Z,64.299,10,33039,1281,0.0,True,9.0,1,step_or_cost_limit,False,,,False,3,8,0.3,0.8,7,
released_task_7e04a501679a132a,WARN_REPLAN_GUARD,c26409603c20,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:11:29Z,2026-06-15T03:12:05Z,35.794,10,45570,2673,0.0,True,10.0,1,step_or_cost_limit,False,,,False,6,15,0.375,0.9375,9,
released_task_7e04a501679a132a,HARD_STOP_GUARD,c64b3ba641a5,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:12:06Z,2026-06-15T03:12:20Z,13.4,5,15934,858,0.0,True,5.0,1,hard_stop_guard,False,,,False,4,8,0.444444,0.888889,5,
released_task_62e1a300553b00f6,NO_GUARD,150edec87eb5,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:12:21Z,2026-06-15T03:16:04Z,223.421,10,50900,3182,0.0,True,3.0,4,step_or_cost_limit,False,,,False,9,12,0.692308,0.923077,4,
released_task_62e1a300553b00f6,WARN_REPLAN_GUARD,486baaf35b1d,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:16:05Z,2026-06-15T03:17:01Z,55.484,10,76392,4531,0.0,True,2.0,4,step_or_cost_limit,False,,,False,8,17,0.444444,0.944444,15,
released_task_62e1a300553b00f6,HARD_STOP_GUARD,e58a64b6930a,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:17:02Z,2026-06-15T03:17:09Z,7.179,3,9207,586,0.0,True,3.0,1,hard_stop_guard,False,,,False,2,3,0.4,0.6,3,
released_task_d0c764a7cfe98bbb,NO_GUARD,97aed5dd112d,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:17:10Z,2026-06-15T03:18:14Z,64.251,10,42841,2316,0.0,True,5.0,5,step_or_cost_limit,False,,,False,6,10,0.545455,0.909091,5,
released_task_d0c764a7cfe98bbb,WARN_REPLAN_GUARD,9c54e939c91f,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:18:15Z,2026-06-15T03:19:22Z,67.211,10,75071,6850,0.0,True,4.0,4,step_or_cost_limit,False,,,False,6,9,0.6,0.9,5,
released_task_d0c764a7cfe98bbb,HARD_STOP_GUARD,b5a80f93bdda,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:19:23Z,2026-06-15T03:19:32Z,8.688,5,20610,565,0.0,True,5.0,1,hard_stop_guard,False,,,False,2,4,0.4,0.8,3,
released_task_dfa98b4dcdc90f6b,NO_GUARD,41dd72e6b2b2,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:19:33Z,2026-06-15T03:20:34Z,61.205,10,55776,2363,0.0,True,6.0,2,step_or_cost_limit,False,,,False,3,4,0.3,0.4,11,
released_task_dfa98b4dcdc90f6b,WARN_REPLAN_GUARD,5dd485eb19e8,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:20:35Z,2026-06-15T03:20:57Z,21.505,10,36274,1676,0.0,True,4.0,4,step_or_cost_limit,False,,,False,5,8,0.5,0.8,6,
released_task_dfa98b4dcdc90f6b,HARD_STOP_GUARD,66e7ed5a4c9c,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:20:58Z,2026-06-15T03:21:05Z,7.258,4,7956,389,0.0,True,4.0,1,hard_stop_guard,False,,,False,2,3,0.5,0.75,3,
released_task_6f4886a7683a7987,NO_GUARD,41329e10571e,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:21:06Z,2026-06-15T03:22:40Z,93.882,10,93267,3091,0.0,True,4.0,3,step_or_cost_limit,False,,,False,7,13,0.5,0.928571,7,
released_task_6f4886a7683a7987,WARN_REPLAN_GUARD,522c34da4750,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:22:41Z,2026-06-15T03:23:59Z,77.904,10,75461,2535,0.0,False,,0,step_or_cost_limit,False,,,False,2,9,0.2,0.9,8,
released_task_6f4886a7683a7987,HARD_STOP_GUARD,81229664d7f2,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,public_benchmark_fallback,2026-06-15T03:24:00Z,2026-06-15T03:24:23Z,22.807,7,44759,2350,0.0,True,7.0,1,hard_stop_guard,False,,,False,3,6,0.428571,0.857143,4,
