released_task_id,benchmark_instance_id,repo,base_commit,task_source,paper_pool_display,historical_group,traceability_level,selected_for_run,selection_reason,estimated_runtime,notes,docker_image
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,dd69361a0d9c6ccde0d2353b00b86e0e7541a3e3,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,selected_verified_because_dataset_loaded,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-11578:latest
released_task_0564c8f60606eb5a,pydata__xarray-4075,pydata/xarray,19b088636eb7d3f65ab7a1046ac672e0689371d8,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-4075:latest
released_task_0f9166c5f9aacc19,pydata__xarray-6599,pydata/xarray,6bb2b855498b5c68d7cca8cceb710365d58e6048,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-6599:latest
released_task_99c12e09d38cfa00,django__django-14725,django/django,0af9a5fc7d765aa05ea784e2c3237675f3bb4b49,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14725:latest
released_task_4805f1e278827d09,django__django-14238,django/django,30e123ed351317b7527f632b3b7dc4e81e850449,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14238:latest
released_task_e590948c68d6dee7,django__django-12209,django/django,5a68f024987e6d16c2626a31bf653a2edddea579,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12209:latest
released_task_d8d2a78a7a2a4779,django__django-7530,django/django,f8fab6f90233c7114d642dfe01a4e6d4cb14ee7d,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-7530:latest
released_task_88e0f0029dab0d06,sympy__sympy-14976,sympy/sympy,9cbea134220b0b951587e11b63e2c832c7246cbc,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-14976:latest
released_task_6b0d74dee3da1eaf,astropy__astropy-13579,astropy/astropy,0df94ff7097961e92fd7812036a24b145bc13ca8,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.astropy_1776_astropy-13579:latest
released_task_d06df4bda5ee702b,sphinx-doc__sphinx-8459,sphinx-doc/sphinx,68aa4fb29e7dfe521749e1e14f750d7afabb3481,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8459:latest
released_task_790aa72b63479f0d,django__django-11138,django/django,c84b91b7603e488f7171fdff8f08368ef3d6b856,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11138:latest
released_task_e0fc0264ae28642d,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,a62775e99f2a5ea3d51db7160fad783f6cd8a4c5,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13439:latest
released_task_8fd6e55bdee766f4,sympy__sympy-16792,sympy/sympy,09786a173e7a0a488f46dd6000177c23e5d24eed,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-16792:latest
released_task_c77d8a4dcc11bb0a,scikit-learn__scikit-learn-13135,scikit-learn/scikit-learn,a061ada48efccf0845acae17009553e01764452b,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13135:latest
released_task_55b2031312bdb4bf,django__django-15368,django/django,e972620ada4f9ed7bc57f28e133e85c85b0a7b20,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15368:latest
released_task_12d4bb2102dc2f56,matplotlib__matplotlib-20826,matplotlib/matplotlib,a0d2e399729d36499a1924e5ca5bc067c8396810,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.matplotlib_1776_matplotlib-20826:latest
released_task_a919c7a583ab5954,django__django-11206,django/django,571ab44e8a8936014c22e7eebe4948d9611fd7ce,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11206:latest
released_task_cab2f650d91f6374,scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,97523985b39ecde369d83352d7c3baf403b60a22,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-10844:latest
released_task_f45d0c7549f17baa,sympy__sympy-11618,sympy/sympy,360290c4c401e386db60723ddb0109ed499c9f6e,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-11618:latest
released_task_58ded97d74649fee,sphinx-doc__sphinx-8551,sphinx-doc/sphinx,57ed10c68057c96491acbd3e62254ccfaf9e3861,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8551:latest
released_task_6205c20339254394,django__django-13212,django/django,f4e93919e4608cfc50849a1f764fd856e0917401,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-13212:latest
released_task_47d55095abaa47f9,django__django-16661,django/django,d687febce5868545f99974d2499a91f81a32fef5,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16661:latest
released_task_565e882d2900a39c,django__django-11734,django/django,999891bd80b3d02dd916731a7a239e1036174885,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11734:latest
released_task_3f855a12db0ec3f4,astropy__astropy-13398,astropy/astropy,6500928dc0e57be8f06d1162eacc3ba5e2eff692,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.astropy_1776_astropy-13398:latest
released_task_c4961460689c63a7,django__django-12858,django/django,f2051eb8a7febdaaa43bd33bf5a6108c5f428e59,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12858:latest
released_task_013d7986c4fc8511,django__django-14053,django/django,179ee13eb37348cd87169a198aec18fedccc8668,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14053:latest
released_task_d8741bb288a4ade9,django__django-16256,django/django,76e37513e22f4d9a01c7f15eee36fe44388e6670,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16256:latest
released_task_75ab04e6eb0a46d4,scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,fdbaa58acbead5a254f2e6d597dc1ab3b947f4c6,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-14894:latest
released_task_8add27b26abe316e,django__django-15104,django/django,a7e7043c8746933dafce652507d3b821801cdc7d,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15104:latest
released_task_32a884cb9e7541b3,django__django-16263,django/django,321ecb40f4da842926e1bc07e11df4aabe53ca4b,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16263:latest
released_task_b31dca5c15fcb419,sympy__sympy-24443,sympy/sympy,809c53c077485ca48a206cee78340389cb83b7f1,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-24443:latest
released_task_2dc760e50d035174,django__django-13741,django/django,d746f28949c009251a8741ba03d156964050717f,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-13741:latest
released_task_52c13e3266d4501c,pytest-dev__pytest-6197,pytest-dev/pytest,e856638ba086fcf5bebf1bebea32d5cf78de87b4,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-6197:latest
released_task_df968c962ec62163,django__django-14376,django/django,d06c5b358149c02a62da8a5469264d05f29ac659,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14376:latest
released_task_c03acb33a56d22ef,django__django-14534,django/django,910ecd1b8df7678f45c3d507dde6bcb1faafa243,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14534:latest
released_task_5921987a268cd3bf,sphinx-doc__sphinx-10614,sphinx-doc/sphinx,ac2b7599d212af7d04649959ce6926c63c3133fa,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-10614:latest
released_task_10b7cdb276063e7b,pydata__xarray-4687,pydata/xarray,d3b6aa6d8b997df115a53c001d00222a0f92f63a,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-4687:latest
released_task_814570b719cd62fd,pydata__xarray-7393,pydata/xarray,41fef6f1352be994cd90056d47440fe9aa4c068f,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-7393:latest
released_task_710948da4ab7cfee,django__django-11951,django/django,312049091288dbba2299de8d07ea3e3311ed7238,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11951:latest
released_task_850aca790a4743d9,django__django-15252,django/django,361bb8f786f112ee275be136795c0b1ecefff928,princeton-nlp/SWE-Bench_Verified:test,Public SWE-bench fallback,mixed/control,public_benchmark_fallback,yes,deterministic_seed_20270614,variable; bounded by runner timeout,No historical prefix labels are exposed to the agent.,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15252:latest
