prompt_id,released_prefix_id,arm,status,attempts,latency_seconds,prompt_tokens,completion_tokens,total_tokens,error
prompt_2bf246a558178c8b,released_prefix_6be742b6bf4776ff,WARN_REPLAN,ok,1,9.2929,1437,760,2197,
prompt_afde1d4a00f5a20d,released_prefix_bc01d0ef3de05fe1,NEUTRAL_CONTINUE,ok,1,3.6027,2243,343,2586,
prompt_16a2d66f793b2ca4,released_prefix_bc01d0ef3de05fe1,WARN_REPLAN,ok,1,4.9539,2288,419,2707,
prompt_b1c4389a779bb412,released_prefix_2512c50f7198809a,NEUTRAL_CONTINUE,parse_failed,1,9.4861,1556,800,2356,
prompt_47fb6a5baa829468,released_prefix_2512c50f7198809a,WARN_REPLAN,parse_failed,1,9.1086,1601,800,2401,
prompt_1ccb6c351c6e401c,released_prefix_196f53d622cafe09,WARN_REPLAN,ok,1,7.3318,1861,640,2501,
prompt_68ba5cb60d10ffcb,released_prefix_26041af09bd73d25,NEUTRAL_CONTINUE,ok,1,10.562,1914,923,2837,
prompt_ac2b1cc31cb54c96,released_prefix_26041af09bd73d25,WARN_REPLAN,ok,1,19.984,1939,1536,3475,
prompt_d41bb54a4642cc76,released_prefix_4671ff0311855415,NEUTRAL_CONTINUE,ok,1,8.8528,1793,631,2424,
prompt_4c9459bcc78a4deb,released_prefix_4671ff0311855415,WARN_REPLAN,ok,1,17.652,1838,1545,3383,
prompt_3611ed941dc1ace0,released_prefix_489327ce7ef93ee0,WARN_REPLAN,ok,1,16.4912,2012,1433,3445,
prompt_ae414dbd237e5a43,released_prefix_a33652d5fd90754d,WARN_REPLAN,ok,1,10.1662,2669,779,3448,
prompt_1944a7f6b94c7daf,released_prefix_5ddf56121d77962e,NEUTRAL_CONTINUE,ok,1,10.123,1428,810,2238,
prompt_10248a15a07a4c21,released_prefix_5ddf56121d77962e,WARN_REPLAN,ok,1,14.1259,1473,1106,2579,
prompt_70bba2eb055084ae,released_prefix_d61345cb5a7cfe6e,NEUTRAL_CONTINUE,ok,1,5.7051,2546,410,2956,
prompt_804966efb32a3634,released_prefix_6be742b6bf4776ff,NEUTRAL_CONTINUE,ok,1,10.6427,1392,845,2237,
prompt_b1c4389a779bb412,released_prefix_2512c50f7198809a,NEUTRAL_CONTINUE,ok,1,9.7695,1576,774,2350,
prompt_47fb6a5baa829468,released_prefix_2512c50f7198809a,WARN_REPLAN,ok,1,8.6721,1621,675,2296,
prompt_2f3e9d0b24b2e209,released_prefix_f0e2f8ce3be0b530,NEUTRAL_CONTINUE,ok,1,8.687,1815,699,2514,
prompt_d63b29e3efd78ab4,released_prefix_f0e2f8ce3be0b530,WARN_REPLAN,ok,1,9.0937,1860,721,2581,
prompt_1f97963668dc8c15,released_prefix_eb3ed7a6f84354b8,NEUTRAL_CONTINUE,ok,1,8.3169,1988,688,2676,
prompt_c523ecf2f0ba4ecb,released_prefix_eb3ed7a6f84354b8,WARN_REPLAN,parse_failed,1,20.2944,2013,1600,3613,
prompt_fc111054987fee2d,released_prefix_d4ad804221a9916e,NEUTRAL_CONTINUE,ok,1,9.6332,2639,860,3499,
prompt_040754fefbae44a6,released_prefix_d4ad804221a9916e,WARN_REPLAN,ok,1,10.5297,2684,779,3463,
prompt_747b76d420c96b3e,released_prefix_2383951b4425e0be,NEUTRAL_CONTINUE,ok,1,13.5124,2191,1144,3335,
prompt_65865be54de4b8a1,released_prefix_2383951b4425e0be,WARN_REPLAN,ok,1,8.6839,2236,822,3058,
prompt_2b809adb5528aaa8,released_prefix_42e6ac9c1d4faac5,NEUTRAL_CONTINUE,ok,1,6.9012,1184,539,1723,
prompt_0081cc390957a04c,released_prefix_42e6ac9c1d4faac5,WARN_REPLAN,ok,1,14.4681,1229,1272,2501,
prompt_e06e597ad5be48e8,released_prefix_d29ef455c428baa7,NEUTRAL_CONTINUE,ok,1,8.7615,2102,726,2828,
prompt_b6baa5c274733e00,released_prefix_d29ef455c428baa7,WARN_REPLAN,ok,1,11.7388,2147,936,3083,
prompt_2836fba8efbe8075,released_prefix_15eae152a57d1e0a,NEUTRAL_CONTINUE,ok,1,10.2611,2366,889,3255,
prompt_f14117f1b91ab4e6,released_prefix_15eae152a57d1e0a,WARN_REPLAN,ok,1,8.4985,2411,704,3115,
prompt_ef5fa5b6b78eb337,released_prefix_b1bc41381a052da5,NEUTRAL_CONTINUE,ok,1,16.2291,1900,1472,3372,
prompt_658e7e94a0e5594c,released_prefix_b1bc41381a052da5,WARN_REPLAN,ok,1,12.3031,1945,988,2933,
prompt_20b67f64b9cccbb0,released_prefix_19a87f1e8ea0b164,NEUTRAL_CONTINUE,ok,1,10.0176,2429,756,3185,
prompt_8b4341e1fdc6e620,released_prefix_19a87f1e8ea0b164,WARN_REPLAN,ok,1,16.147,2474,1283,3757,
prompt_0be226190968bf19,released_prefix_5441f145b34f3e40,NEUTRAL_CONTINUE,ok,1,10.14,1429,800,2229,
prompt_24482e3f1c6cd924,released_prefix_5441f145b34f3e40,WARN_REPLAN,parse_failed,1,20.1882,1454,1600,3054,
prompt_7f84496b0f8dacb6,released_prefix_d4a483d1d867b5e4,NEUTRAL_CONTINUE,ok,1,13.9795,2043,1110,3153,
prompt_069a33002b3d06e6,released_prefix_d4a483d1d867b5e4,WARN_REPLAN,ok,1,10.6326,2088,953,3041,
prompt_05cdbd8e6da2bfd9,released_prefix_8919a09ee16f4c47,NEUTRAL_CONTINUE,ok,1,5.5491,1034,406,1440,
prompt_cf1abd01f8968c81,released_prefix_8919a09ee16f4c47,WARN_REPLAN,ok,1,9.9027,1079,763,1842,
prompt_4ffdc4147531790a,released_prefix_5152091f51d209f7,NEUTRAL_CONTINUE,ok,1,11.0807,2095,910,3005,
prompt_95d7a10e564ed881,released_prefix_5152091f51d209f7,WARN_REPLAN,ok,1,5.8623,2140,481,2621,
prompt_b3c4c8bc4dd9a8d3,released_prefix_68f8862cc4f90089,NEUTRAL_CONTINUE,ok,1,8.0748,1255,592,1847,
prompt_636abc1b847b9cef,released_prefix_68f8862cc4f90089,WARN_REPLAN,ok,1,13.4851,1300,904,2204,
prompt_a9570bb52802542e,released_prefix_68c9f6cea8ccfcb5,NEUTRAL_CONTINUE,ok,1,7.0593,1832,557,2389,
prompt_f81de5f2871d7e81,released_prefix_68c9f6cea8ccfcb5,WARN_REPLAN,ok,1,12.5155,1877,964,2841,
prompt_dca3f140799678dc,released_prefix_1cb35970f265f126,NEUTRAL_CONTINUE,ok,1,6.5136,1620,505,2125,
prompt_c2742e827ee80170,released_prefix_1cb35970f265f126,WARN_REPLAN,ok,1,9.2992,1665,762,2427,
prompt_a6171408de25cdb1,released_prefix_e5af744d1d7f44dc,NEUTRAL_CONTINUE,ok,1,12.5953,1614,1040,2654,
prompt_7db9010075f588d5,released_prefix_e5af744d1d7f44dc,WARN_REPLAN,ok,1,12.8387,1659,1110,2769,
prompt_4831a7720fb846a3,released_prefix_f7d24c8b072de42f,NEUTRAL_CONTINUE,ok,1,5.3802,2467,406,2873,
prompt_74f3a50d40f387aa,released_prefix_f7d24c8b072de42f,WARN_REPLAN,ok,1,7.9157,2512,644,3156,
prompt_03034a60f5175659,released_prefix_aad756806b7c937d,NEUTRAL_CONTINUE,ok,1,8.7058,1315,694,2009,
prompt_b1b23ce506d678af,released_prefix_aad756806b7c937d,WARN_REPLAN,ok,1,11.787,1360,897,2257,
prompt_ef2a6656c7697b97,released_prefix_82da8eedb4e91b66,NEUTRAL_CONTINUE,ok,1,16.2613,2205,1351,3556,
prompt_4de1c9f4285b71eb,released_prefix_82da8eedb4e91b66,WARN_REPLAN,parse_failed,1,19.6738,2250,1600,3850,
prompt_d47e239df0f781df,released_prefix_1ddfb106937e4396,NEUTRAL_CONTINUE,ok,1,6.6352,1966,541,2507,
prompt_b57c3596d2538bba,released_prefix_1ddfb106937e4396,WARN_REPLAN,ok,1,8.1926,2011,646,2657,
prompt_0d02806e05d10ccb,released_prefix_cac284639ee4fc1e,NEUTRAL_CONTINUE,ok,1,6.6006,1976,558,2534,
prompt_f08bf1e65f05a0cf,released_prefix_cac284639ee4fc1e,WARN_REPLAN,ok,1,11.005,2021,815,2836,
prompt_b886177d1ee12bf3,released_prefix_8841e032e77ab45b,NEUTRAL_CONTINUE,ok,1,7.7262,1833,560,2393,
prompt_642b99c1629840c9,released_prefix_8841e032e77ab45b,WARN_REPLAN,ok,1,13.5447,1878,1098,2976,
prompt_1204a3781cfa5c40,released_prefix_96967e699ef76461,NEUTRAL_CONTINUE,ok,1,15.3011,1422,1208,2630,
prompt_86efeaec3953134d,released_prefix_96967e699ef76461,WARN_REPLAN,ok,1,14.0512,1467,1032,2499,
prompt_1c95a357e92bcb27,released_prefix_7d219aad6aa3209e,NEUTRAL_CONTINUE,ok,1,12.472,2200,853,3053,
prompt_56a4fee12bda05b0,released_prefix_7d219aad6aa3209e,WARN_REPLAN,ok,1,19.8684,2265,1280,3545,
prompt_46d7cc463d15e5d7,released_prefix_63da65671d20feff,NEUTRAL_CONTINUE,ok,1,8.8208,2397,660,3057,
prompt_917e8be07e765077,released_prefix_63da65671d20feff,WARN_REPLAN,ok,1,20.9667,2442,1376,3818,
prompt_d9e7803b85a2377a,released_prefix_85807efeb22c88af,NEUTRAL_CONTINUE,ok,1,5.8162,1797,384,2181,
prompt_1742a43af3e5dae0,released_prefix_85807efeb22c88af,WARN_REPLAN,ok,1,8.6445,1842,547,2389,
prompt_6239919c9de412da,released_prefix_19ab17ff3175d4f6,NEUTRAL_CONTINUE,ok,1,12.2152,1850,903,2753,
prompt_6c8c0090e79fb12f,released_prefix_19ab17ff3175d4f6,WARN_REPLAN,ok,1,8.6007,1895,577,2472,
prompt_cd66412e9b5f951c,released_prefix_c56b45e28a1a5717,NEUTRAL_CONTINUE,ok,1,15.3258,959,988,1947,
prompt_e2e27df13d80b9f9,released_prefix_c56b45e28a1a5717,WARN_REPLAN,ok,1,15.5918,1004,977,1981,
prompt_c7255e005bff4645,released_prefix_703c54a5cbfcf2c2,NEUTRAL_CONTINUE,ok,1,8.0466,921,500,1421,
prompt_58bbe43d0e2844a6,released_prefix_703c54a5cbfcf2c2,WARN_REPLAN,ok,1,12.3054,966,865,1831,
prompt_e0c053714745f7af,released_prefix_a355a55199692092,NEUTRAL_CONTINUE,ok,1,6.7503,1946,545,2491,
prompt_b37f5e4d1aed7466,released_prefix_a355a55199692092,WARN_REPLAN,ok,1,11.2514,1991,1010,3001,
prompt_fa5b46e3e2084b48,released_prefix_9c1e9dc3bfd59624,NEUTRAL_CONTINUE,ok,1,9.5523,1956,738,2694,
prompt_4926b1d01ddbf8a3,released_prefix_9c1e9dc3bfd59624,WARN_REPLAN,ok,1,6.188,2001,432,2433,
prompt_2aa0de751ecc339c,released_prefix_49a460c85c3cad28,NEUTRAL_CONTINUE,ok,1,10.9042,2008,920,2928,
prompt_8caa22a370b67f47,released_prefix_49a460c85c3cad28,WARN_REPLAN,ok,1,20.9207,2053,1565,3618,
prompt_280ff94e5890181f,released_prefix_28c4c4a848da22c1,NEUTRAL_CONTINUE,ok,1,8.7826,1257,631,1888,
prompt_3bda53c12c320570,released_prefix_28c4c4a848da22c1,WARN_REPLAN,ok,1,16.2635,1302,1324,2626,
prompt_e6cacd58736bffa4,released_prefix_8ee7be364ea582e5,NEUTRAL_CONTINUE,ok,1,9.6413,1675,821,2496,
prompt_aa52d7b985637a3a,released_prefix_8ee7be364ea582e5,WARN_REPLAN,ok,1,12.7721,1720,1099,2819,
prompt_24fba4196950c7af,released_prefix_62885990e4e90ada,NEUTRAL_CONTINUE,ok,1,6.0182,1373,496,1869,
prompt_ff64ebc44d82f203,released_prefix_62885990e4e90ada,WARN_REPLAN,ok,1,5.8901,1418,374,1792,
prompt_0da495c2ef8b5705,released_prefix_3aad7748d98a5e39,NEUTRAL_CONTINUE,ok,1,6.3352,1792,554,2346,
prompt_382b34d96a1d10b0,released_prefix_3aad7748d98a5e39,WARN_REPLAN,ok,1,8.0354,1837,680,2517,
prompt_a2eab29e11431160,released_prefix_40129379d10e91d2,NEUTRAL_CONTINUE,ok,1,6.7318,2449,603,3052,
prompt_8e5b583a6db35b21,released_prefix_40129379d10e91d2,WARN_REPLAN,ok,1,15.9109,2494,1225,3719,
prompt_5374c7e5ec3df37d,released_prefix_02fa7342302f2715,NEUTRAL_CONTINUE,ok,1,10.0914,1016,776,1792,
prompt_32bb495a7edc8adf,released_prefix_02fa7342302f2715,WARN_REPLAN,ok,1,8.1814,1061,659,1720,
prompt_70e01cdf806e4c6a,released_prefix_3a03621dbf3b20b1,NEUTRAL_CONTINUE,ok,1,13.6291,1649,1101,2750,
prompt_c024af190952080e,released_prefix_3a03621dbf3b20b1,WARN_REPLAN,ok,1,16.753,1694,1422,3116,
prompt_80d6141c28feeee7,released_prefix_acf40cc724ca5bf4,NEUTRAL_CONTINUE,ok,1,6.9661,2142,603,2745,
prompt_9dab85b4737becff,released_prefix_acf40cc724ca5bf4,WARN_REPLAN,ok,1,14.0249,2167,1197,3364,
prompt_134b6ed50e827bf6,released_prefix_e8a50a09757a15e4,NEUTRAL_CONTINUE,ok,1,10.6405,1247,864,2111,
prompt_ca7d71aab70587c5,released_prefix_e8a50a09757a15e4,WARN_REPLAN,ok,1,12.4836,1292,1189,2481,
prompt_59bafc5776f619db,released_prefix_8a653881253a7113,NEUTRAL_CONTINUE,ok,1,4.8502,2392,454,2846,
prompt_f9da2ab604d7edb4,released_prefix_8a653881253a7113,WARN_REPLAN,ok,1,11.1329,2437,1097,3534,
prompt_c0da07e2effb8078,released_prefix_84e9e95912bdac37,NEUTRAL_CONTINUE,ok,1,13.3621,2246,1234,3480,
prompt_fee087ad27e92d5f,released_prefix_84e9e95912bdac37,WARN_REPLAN,ok,1,8.9268,2291,752,3043,
prompt_38f5f109a102bd55,released_prefix_c41a77778bd99888,NEUTRAL_CONTINUE,ok,1,9.1202,1606,679,2285,
prompt_c51a3ab62f45ae32,released_prefix_c41a77778bd99888,WARN_REPLAN,ok,1,8.117,1651,677,2328,
prompt_5a415a8212969a3b,released_prefix_f332d8025833c4bc,NEUTRAL_CONTINUE,ok,1,13.4458,1708,1310,3018,
prompt_4fd12cd1ba224708,released_prefix_f332d8025833c4bc,WARN_REPLAN,ok,1,8.8997,1753,770,2523,
prompt_1aa6b69d9551bfae,released_prefix_ebc6bc66e608cc34,NEUTRAL_CONTINUE,ok,1,15.0274,1778,1511,3289,
prompt_b2895dec9ed7aabd,released_prefix_ebc6bc66e608cc34,WARN_REPLAN,ok,1,11.2527,1823,965,2788,
prompt_edbf5b36f7faf312,released_prefix_6b7490cb8d2e3c2a,NEUTRAL_CONTINUE,ok,1,8.7863,1587,812,2399,
prompt_634ac513b2c383ed,released_prefix_6b7490cb8d2e3c2a,WARN_REPLAN,ok,1,10.2058,1632,865,2497,
prompt_838038b0dbaf623a,released_prefix_6e265b80b93e65a7,NEUTRAL_CONTINUE,ok,1,10.1547,2004,1002,3006,
prompt_5d26671e89b3891f,released_prefix_6e265b80b93e65a7,WARN_REPLAN,ok,1,10.2151,2049,922,2971,
prompt_bbc1b38c57fe67ab,released_prefix_6954b3184b1ba0a6,NEUTRAL_CONTINUE,ok,1,5.5897,1133,518,1651,
prompt_36b699145221079c,released_prefix_6954b3184b1ba0a6,WARN_REPLAN,ok,1,5.9277,1178,560,1738,
prompt_c523ecf2f0ba4ecb,released_prefix_eb3ed7a6f84354b8,WARN_REPLAN,ok,1,5.4537,2033,520,2553,
prompt_24482e3f1c6cd924,released_prefix_5441f145b34f3e40,WARN_REPLAN,ok,1,10.0305,1474,1038,2512,
prompt_4de1c9f4285b71eb,released_prefix_82da8eedb4e91b66,WARN_REPLAN,ok,1,6.6596,2270,650,2920,
prompt_1ad73699c88e5fe9,released_prefix_4e4559cd7756b632,NEUTRAL_CONTINUE,ok,1,8.6446,1498,881,2379,
prompt_2f32d492e5b9add7,released_prefix_4e4559cd7756b632,WARN_REPLAN,ok,1,7.485,1543,753,2296,
prompt_5734dc8c56826af5,released_prefix_273b7adb095fa1c1,NEUTRAL_CONTINUE,ok,1,7.4695,1674,720,2394,
prompt_8a7419311c7aa770,released_prefix_273b7adb095fa1c1,WARN_REPLAN,ok,1,7.8285,1719,771,2490,
prompt_35bc239d9ead273b,released_prefix_47768e25cad036f4,NEUTRAL_CONTINUE,ok,1,8.7391,1920,947,2867,
prompt_e177f1f1b0e55bc7,released_prefix_47768e25cad036f4,WARN_REPLAN,ok,1,6.0517,1965,570,2535,
prompt_39012e2f0ee91fed,released_prefix_dd4123d4defeb292,NEUTRAL_CONTINUE,ok,1,14.8378,1917,1515,3432,
prompt_f92f45c9a2a5fc7c,released_prefix_dd4123d4defeb292,WARN_REPLAN,ok,1,9.17,1962,819,2781,
prompt_d12a50beccb001a1,released_prefix_d9cbb726f880a011,NEUTRAL_CONTINUE,ok,1,11.4273,2105,1028,3133,
prompt_51190370d0662272,released_prefix_d9cbb726f880a011,WARN_REPLAN,ok,1,10.2395,2150,1016,3166,
prompt_2da714520d29a968,released_prefix_aaca292dcfc0da36,NEUTRAL_CONTINUE,ok,1,10.4786,1609,1046,2655,
prompt_6ece19c22b9f0ca2,released_prefix_aaca292dcfc0da36,WARN_REPLAN,ok,1,8.5495,1654,878,2532,
prompt_7de949e4722b0ada,released_prefix_43f1dc8a7150a4eb,NEUTRAL_CONTINUE,ok,1,8.65,1599,820,2419,
prompt_0d1fa628968030b6,released_prefix_43f1dc8a7150a4eb,WARN_REPLAN,ok,1,7.526,1644,704,2348,
prompt_4f34d4812f23c7e8,released_prefix_d82165f73d42c3ac,NEUTRAL_CONTINUE,ok,1,10.9662,1379,1185,2564,
prompt_fb269b87321571c6,released_prefix_d82165f73d42c3ac,WARN_REPLAN,ok,1,8.2403,1404,819,2223,
prompt_ec8beaa3826f67bc,released_prefix_715e7cd979126523,NEUTRAL_CONTINUE,ok,1,5.99,1161,508,1669,
prompt_718e7f05ccf3609a,released_prefix_715e7cd979126523,WARN_REPLAN,ok,1,7.5255,1206,660,1866,
prompt_8c90084d65dd8828,released_prefix_fe26dbf05df17600,NEUTRAL_CONTINUE,ok,1,6.0812,1746,604,2350,
prompt_9cdf6ab34cd42044,released_prefix_fe26dbf05df17600,WARN_REPLAN,ok,1,7.71,1791,701,2492,
prompt_2a42ee011266f41c,released_prefix_295b4e552097f519,NEUTRAL_CONTINUE,ok,1,6.3906,1717,483,2200,
prompt_1a2718d504d39027,released_prefix_295b4e552097f519,WARN_REPLAN,ok,1,7.9817,1762,769,2531,
prompt_1edeeabb77910ef5,released_prefix_ebcbdf31559de286,NEUTRAL_CONTINUE,ok,1,11.3829,2123,1154,3277,
prompt_635b0ac5e122fe72,released_prefix_ebcbdf31559de286,WARN_REPLAN,ok,1,13.3558,2148,1339,3487,
prompt_f16a5de897ca7465,released_prefix_2824c44c07994809,NEUTRAL_CONTINUE,ok,1,6.5461,1941,639,2580,
prompt_8c34055fcbee4101,released_prefix_2824c44c07994809,WARN_REPLAN,ok,1,7.5783,1986,703,2689,
prompt_805c54ee511b2632,released_prefix_89999173159efd3c,NEUTRAL_CONTINUE,ok,1,7.6029,2272,724,2996,
prompt_9f7a1cbdc5384a53,released_prefix_89999173159efd3c,WARN_REPLAN,ok,1,9.7212,2317,936,3253,
prompt_c0f843c33aa913aa,released_prefix_d7b041f42ad8b2dc,NEUTRAL_CONTINUE,ok,1,8.5706,1513,948,2461,
prompt_79feee751bccbbb9,released_prefix_d7b041f42ad8b2dc,WARN_REPLAN,ok,1,15.517,1558,1527,3085,
prompt_207d3adeffb60f24,released_prefix_c17fab5e8f91e9ba,NEUTRAL_CONTINUE,ok,1,6.5483,1536,672,2208,
prompt_7a5407346042646c,released_prefix_c17fab5e8f91e9ba,WARN_REPLAN,ok,1,7.0832,1581,665,2246,
prompt_236b27398e4d8a82,released_prefix_8b03030d45b1cdc4,NEUTRAL_CONTINUE,ok,1,8.144,1990,826,2816,
prompt_2f1ec0bc002c0503,released_prefix_8b03030d45b1cdc4,WARN_REPLAN,ok,1,7.7733,2035,718,2753,
prompt_a211efeacaa5c13d,released_prefix_0c3974fa60feb7ec,NEUTRAL_CONTINUE,ok,1,6.5569,2535,672,3207,
prompt_3f729988330bcdda,released_prefix_0c3974fa60feb7ec,WARN_REPLAN,ok,1,8.5541,2580,572,3152,
prompt_6c632fcfd5af85e8,released_prefix_73dfbcd6be51f867,NEUTRAL_CONTINUE,ok,1,5.4023,2612,589,3201,
prompt_b9157a5464cd6def,released_prefix_73dfbcd6be51f867,WARN_REPLAN,ok,1,8.675,2637,816,3453,
prompt_45959625768fbac3,released_prefix_baac3886b6eba613,NEUTRAL_CONTINUE,ok,1,7.6998,2609,741,3350,
prompt_489929b5d7b731e6,released_prefix_baac3886b6eba613,WARN_REPLAN,ok,1,12.8701,2654,1236,3890,
prompt_fa8b5160ec1d801b,released_prefix_083e0b89b167eef6,NEUTRAL_CONTINUE,ok,1,6.884,2409,645,3054,
prompt_a9d87fdb32cadd60,released_prefix_083e0b89b167eef6,WARN_REPLAN,ok,1,9.8072,2454,881,3335,
prompt_752a9d303bfafec0,released_prefix_e7ac3e4c0a10dc59,NEUTRAL_CONTINUE,ok,1,5.6688,2256,508,2764,
prompt_649f0ebdaf046136,released_prefix_e7ac3e4c0a10dc59,WARN_REPLAN,ok,1,6.9626,2301,588,2889,
prompt_b034a31b3fd4e851,released_prefix_56d0fc3e29ba90bb,NEUTRAL_CONTINUE,ok,1,9.5569,2139,1011,3150,
prompt_b94b614f80e950bb,released_prefix_56d0fc3e29ba90bb,WARN_REPLAN,ok,1,12.3785,2184,1196,3380,
prompt_07f6e27b0423726b,released_prefix_fee4fe048cab6979,NEUTRAL_CONTINUE,ok,1,6.1546,2033,648,2681,
prompt_3b61942294af73da,released_prefix_fee4fe048cab6979,WARN_REPLAN,ok,1,8.4641,2078,891,2969,
prompt_1a2b49289a176cbf,released_prefix_e67e71f8c3cac3ae,NEUTRAL_CONTINUE,ok,1,6.466,1438,733,2171,
prompt_1841255baaf7908b,released_prefix_e67e71f8c3cac3ae,WARN_REPLAN,ok,1,7.2722,1483,649,2132,
prompt_8471e63aa2a0c33e,released_prefix_60bd198a193cac15,NEUTRAL_CONTINUE,ok,1,12.2246,1389,1144,2533,
prompt_4d5e83006ee6b89f,released_prefix_60bd198a193cac15,WARN_REPLAN,ok,1,6.6643,1434,726,2160,
prompt_1aa63e86a7870535,released_prefix_8b3879bb092a05ea,NEUTRAL_CONTINUE,ok,1,6.1189,2337,588,2925,
prompt_e22101beeddaa791,released_prefix_8b3879bb092a05ea,WARN_REPLAN,ok,1,13.2134,2382,1310,3692,
prompt_0883d1f191ec803e,released_prefix_89e6580a1a42fd21,NEUTRAL_CONTINUE,ok,1,10.119,2080,1095,3175,
prompt_14ffd64f30986ff4,released_prefix_89e6580a1a42fd21,WARN_REPLAN,ok,1,8.2197,2125,815,2940,
prompt_0c1030f43e3751e7,released_prefix_2e0eed04154d7b72,NEUTRAL_CONTINUE,ok,1,6.0296,2150,575,2725,
prompt_1e6b30253e9f2c2f,released_prefix_2e0eed04154d7b72,WARN_REPLAN,ok,1,9.9669,2195,1090,3285,
prompt_04a030cd2a68ee94,released_prefix_2da12df5fbb83e8e,NEUTRAL_CONTINUE,ok,1,5.781,2024,547,2571,
prompt_419e8ae8d80faa97,released_prefix_2da12df5fbb83e8e,WARN_REPLAN,ok,1,9.8713,2049,942,2991,
prompt_a5f06f991a74d0c1,released_prefix_f63610a3bed63216,NEUTRAL_CONTINUE,parse_failed,1,16.1677,1718,1600,3318,
prompt_fff19580ebe5701f,released_prefix_f63610a3bed63216,WARN_REPLAN,parse_failed,1,14.0571,1763,1600,3363,
prompt_d01b37c0139882d1,released_prefix_df7cd1f547027b03,NEUTRAL_CONTINUE,ok,1,3.6091,1882,398,2280,
prompt_feb4f9fd5b89d66c,released_prefix_df7cd1f547027b03,WARN_REPLAN,ok,1,13.4515,1927,1388,3315,
prompt_deae1e74fb2133c0,released_prefix_9d1f70f0d7126b70,NEUTRAL_CONTINUE,ok,1,8.0725,2010,716,2726,
prompt_98706f65a40a0c07,released_prefix_9d1f70f0d7126b70,WARN_REPLAN,ok,1,5.7943,2055,588,2643,
prompt_669e6ecfd9d2448c,released_prefix_d9934af6036d35c6,NEUTRAL_CONTINUE,ok,1,6.4958,1595,850,2445,
prompt_f42395912703d799,released_prefix_d9934af6036d35c6,WARN_REPLAN,ok,1,7.5717,1640,915,2555,
prompt_628fe74be4d4a1ae,released_prefix_f6e8797cfb7c3f82,NEUTRAL_CONTINUE,ok,1,5.9913,1400,637,2037,
prompt_9dbcb41b20d47f63,released_prefix_f6e8797cfb7c3f82,WARN_REPLAN,ok,1,8.8876,1445,855,2300,
prompt_43c71e29a9a0b8c8,released_prefix_939b82202e47be2a,NEUTRAL_CONTINUE,ok,1,7.5151,1603,905,2508,
prompt_aeff887f0d1e8f84,released_prefix_939b82202e47be2a,WARN_REPLAN,ok,1,9.2264,1648,1089,2737,
prompt_8cec2273f582d667,released_prefix_7f0b409ec4ee1942,NEUTRAL_CONTINUE,ok,1,7.5732,1659,859,2518,
prompt_63d8bd174dc520e6,released_prefix_7f0b409ec4ee1942,WARN_REPLAN,ok,1,5.806,1704,582,2286,
prompt_82dfec0149b69967,released_prefix_84c191458943eef2,NEUTRAL_CONTINUE,ok,1,8.2571,1344,991,2335,
prompt_d2db58bfe35e1182,released_prefix_84c191458943eef2,WARN_REPLAN,parse_failed,1,14.237,1369,1600,2969,
prompt_2e412ad555812bfb,released_prefix_43028e6c3bd2850b,NEUTRAL_CONTINUE,ok,1,5.5292,1326,662,1988,
